id,name,mrp,sp,category
4.79207E+12,fldfydU fnans,140,140,
4.79205E+12,"fo,qua",130,130,
1001,is.rga,2100,2050,
8.90102E+12,fmdlga,320,320,
8.90102E+12,fmdlga,320,320,
8.90102E+12,fmdlga,320,320,
4.79601E+12,"fjdkav,hsga ",80,80,
4.79208E+12,"ika,hsga",150,145,
4.79208E+12,"ika,hsga",150,145,
4.79208E+12,",hsmafndhs ",125,125,
4.79208E+12,",hsmafndhs ",150,150,
4.79208E+12,fmhdia inka,145,140,
8.90103E+12,luaIaraga ,1290,1290,
4.79601E+12,jsua oshr,425,425,
4.79601E+12,"ika,hsga flhd",590,590,
4.79111E+12,oSjd,25,25,
4.79111E+12,oSjd,430,380,
4.79111E+12,oSjd,430,380,
4.79111E+12,oSjd,430,380,
4.79111E+12,oSjd,25,25,
4.79111E+12,oSjd,99,99,
4.79111E+12,osrsh,350,300,
4.79601E+12,"ika,hsgs lqvq",450,380,
4.79601E+12,"ika,hsgs lqvq",450,380,
4.79601E+12,"ika,hsgs lqvq",25,25,
4.79601E+12,"ika,hsgs lqvq",25,25,
4.79601E+12,rska,20,20,
4.79601E+12,"irafmlai,a",540,540,
4.79601E+12,"irafmlai,a",400,400,
4.79602E+12,iqmsrsisoq,330,330,
4.79603E+12,thd fmIakra,670,670,
4.79602E+12,".a,dia la,Skra",450,450,
4.79204E+12,",hsfida,a",250,250,
4.79204E+12,",hsfida,a",250,250,
4.79204E+12,",hsfida,a",250,250,
4.793E+12,ldra fjdIa,400,400,
4.793E+12,"laf,dafrlaia",290,290,
8.90116E+12,ysga,1050,1050,
8.90116E+12,ysga,790,790,
4.79204E+12,fudagSka,1350,1350,
4.79204E+12,ydmsla,480,480,
4.79204E+12,ydmsla,480,480,
4.79204E+12,ydmsla,480,480,
4.79204E+12,",hjsfidaa,a",500,500,
4.79204E+12,"fvfgda,a oshr",195,195,
4.79204E+12,"fvfgda,a oshr",340,340,
8.90116E+12,.qva khaga,800,800,
8.90116E+12,.qva khaga,180,180,
4.79215E+12,rdjka,260,260,
8.90406E+12,wuskaia,250,250,
4.79602E+12,vhs,185,185,
8.90116E+12,"ysga ,hska",160,160,
4.79215E+12,fykd Ieuamq,480,480,
4.79111E+12,fnans mela,1300,1300,
4.79107E+12,meks nSu,170,170,
4.793E+12,yoqkalQre,30,30,
8.72061E+12,",smagka",725,725,
