id,බ්ප්,mrp,sp,category
4.79E+12,ඩව,500,500,
4.79E+12,ඩව,750,750,
4.79E+12,ඩව,750,750,
4.80E+12,ආයුෂ්,845,845,
4.79E+12,ආයුෂ්,460,460,
4.79E+12,ක්ලියර්,870,870,
4.79E+12,ක්ලියර,470,470,
4.79E+12,සන්සිල්ක්,625,625,
4.79E+12,ක්ලියර,490,490,
4.79E+12,බේබි වොෂ්,870,870,
4.79E+12,බේබි වොෂ්,400,400,
4.79E+12,ෂෙරමි කුීම්,360,360,
4.79E+12,ෂෙරමි කුීම්,185,185,
4.79E+12,ෂෙරමි කුීම්,185,185,
4.79E+12,කොලොන්,360,360,
4.79E+12,කොලොන්,575,575,
4.79E+12,ගෝයා,350,350,
4.79E+12,ගෝයා,350,350,
4.79E+12,වෙල්වට්,400,400,
4.79E+12,වෙල්වට්,400,400,
4.79E+12,වෙල්වට්,400,400,
4.79E+12,කොලොන්,290,290,
4.79E+12,බේබි ඔයිල්,450,450,
4.79E+12,බේබි ෂැම්පු,280,280,
4.79E+12,බේබි ෂැම්පු,280,280,
4.79E+12,ජෙල්,320,320,
4.80E+12,සන්සිල්ක්,150,150,
4.79E+12,ඩෙටෝල්,135,135,
4.79E+12,ඩෙටෝල්,135,135,
4.79E+12,ඩෙටෝල්,135,135,
4.79E+12,ඩෙටෝල්,135,135,
4.79E+12,වෙල්වට්,125,125,
4.79E+12,වෙල්වට්ි,125,120,
4.79E+12,වෙල්වට්ි,130,125,
4.80E+12,කැලින්,125,125,
4.80E+12,කැලින්,125,125,
4.80E+12,කැලින්,125,125,
4.79E+12,සූුප්පු,260,260,
4.79E+12,සූුප්පු,950,950,
4.79E+12,සූුප්පු,960,960,
4.80E+12,කැලින්,90,90,
4.80E+12,කැලින්,90,90,
4.80E+12,කැලින්,90,90,
4.80E+12,කැලින්,125,120,
4.80E+12,කැලින්,175,1703,
4.79E+12,ෂේවින් පොම්,525,525,
4.79E+12,ෂේවින් පොම්,1750,1750,
4.79E+12,ෂේවින් පොම්,525,525,
4.79E+12,ෂේවින් පොම්,950,950,
4.80E+12,බෙලෝස්,390,390,
4.80E+12,බෙලෝස්,195,195,
4.80E+12,මසාජ් ටොනික්,490,490,
4.79E+12,රානි පවුඩර්,350,350,
4.79E+12,පැරිස්,200,200,
4.79E+12,රානි පවුඩර්,350,350,
4.79E+12,පැරිස්,200,200,
4.79E+12,කොහොඹි පවුඩර්,350,350,
4.79E+12,පවුඩර්,175,175,
4.79E+12,බ්ලැක් නයිට්,250,250,
4.79E+12,බ්ලැක් නයිට්,180,180,
4.79E+12,පොන්ඩ්ස්,530,530,
4.80E+12,පොන්ඩ්ස්,530,530,
4.79E+12,සෙන්ට්,850,850,
4.80E+12,චන්දනාලේප බොඩිලෝෂන්,420,420,
4.80E+12,චන්දනාලේප බොඩිලෝෂන්,420,420,
4.80E+12,චන්දනාලේප පේස්වොෂ්,390,390,
4.80E+12,චන්දනාලේප පේස්වොෂ්,420,420,
4.80E+12,චන්දනාලේප පේස්වොෂ්,420,420,
8.90E+12,නවරත්න ඔයිල්,220,220,
4.80E+12,නෙලුම්තෙල්,380,380,
4.79E+12,කේෂා,250,250,
4.79E+12,කේෂා,250,250,
4.79E+12,චන්දනාලේප ,720,720,
4.79E+12,බොඩිලෝෂන්,650,650,
4.79E+12,බොඩිලෝෂන්,390,390,
4.79E+12,බොඩිලෝෂන්,390,390,
4.79E+12,බොඩිලෝෂන්,390,390,
4.79E+12,බේබි වොෂ්,280,280,
4.79E+12,බේබි ෂැම්පු,280,280,
4.79E+12,බේබි කොලොන්,500,500,
4.79E+12,බේබි කොලොන්,500,500,
4.79E+12,බේබි කොලොන්,500,500,
4.79E+12,පැන්ඩා කුීම්,330,330,
4.79E+12,පැන්ඩා කුීම්,330,330,
4.79E+12,පැන්ඩා කුීම්,330,330,
4.79E+12,කොහොඹි පවුඩර්,300,300,
4.79E+12,කොහොඹි බේබිකිුම්,185,185,
4.79E+12,බේබිකිුම්,185,185,
4.79E+12,බේබිකිුම්,350,350,
4.79E+12,බේබිකිුම්,350,350,
4.79E+12,බේබිකිුම්,350,350,
4.79E+12,පේස්වොෂ්,370,370,
4.79E+12,පේස්වොෂ්,370,370,
4.79E+12,පේස්වොෂ්,195,195,
4.79E+12,ෂැම්පු,350,350,
4.79E+12,කොලොන්,360,360,
8.44E+12,සෙන්ට්,350,350,
8.90E+12,හැන්ඩ්සම්,450,450,
4.79E+12,කොලොන්,360,360,
4.79E+12,ෂෙරමි සබන්,145,145,
4.79E+12,ෂෙරමි පැක්,435,385,
4.79E+12,කොහොඹ බේබි,140,140,
4.79E+12,දෙලුම්,130,130,
1001,සිගරට්,2100,2050,
8.90E+12,පොකට්,320,320,
8.90E+12,පොකට්,320,320,
8.90E+12,පොකට්,320,320,
